feature,gain_importance,gain_rank,perm_importance_mean,perm_importance_std,perm_rank,rank_gap
C11,0.0023886056,54,0.02965948904116683,0.0015253685942648815,6,48
C2,0.00215002,66,0.010134546652060539,0.0006365644475099739,18,48
V308,0.0011826033,142,0.0009902833919173126,0.0002659044524639953,95,47
V126,0.0012143374,132,0.00016423250287880275,7.582631955751275e-05,179,47
V312,0.012002702,14,0.0023512927579840692,0.0006850270808876401,60,46
V59,2.4331266e-05,311,-1.3026064786814118e-05,0.0,357,46
C8,0.0018793489,77,0.005331232754591131,0.00032238048058638486,32,45
V200,0.001896993,75,0.0006882705103415931,0.00015591392192200384,119,44
V24,0.0007106379,241,7.286809218900458e-05,7.731628300992508e-05,198,43
V61,0.001782739,84,0.004381918648544414,0.0004862205532920949,42,42
V263,0.0011757319,144,0.0008416420895682397,0.0002760900422926652,102,42
device_type,0.00488823,21,0.0021599581881192264,0.00044544734914957104,63,42
V52,0.0005928823,260,2.1976199666673414e-05,5.556087045017202e-05,220,40
V314,0.0010186703,171,0.0005618253589083078,0.00010068801395631842,131,40
V256,0.0033916887,36,0.0016158554933448754,0.0003507674132940773,74,38
V151,0.00064704084,247,4.80803622875281e-05,2.8408602411668302e-05,209,38
V187,0.0013617745,110,0.0017175812878091224,0.00014700222423915144,72,38
V105,0.00077401625,224,0.00012146593834228003,2.4688163915692446e-05,187,37
V45,0.003614012,32,0.001965770313964743,0.0006194022096161652,69,37
C9,0.002578337,50,0.013537884516953924,0.001167498886154702,13,37
V158,0.0016170404,97,0.0005563673373506384,0.00012052650982636998,132,35
V237,0.0005325774,266,4.117992251295721e-06,7.975723456627168e-06,231,35
V70,0.0518853,4,0.00447723731473274,0.001096854670493393,39,35
V43,0.00094224716,190,0.0003064795996791991,0.00010241124582912936,155,35
V64,0.0014907081,103,0.0004568132795289004,0.0001596860754969866,137,34
V296,0.0037938154,29,0.0022800883362080306,0.0002580388437401918,61,32
V129,0.0010183227,172,0.00043383824673521866,0.00013769201825603568,140,32
V175,0.00087282236,205,6.994013353911476e-07,2.0246077041406267e-05,237,32
V80,0.00059145305,261,6.044835514029678e-06,2.094959791242097e-05,229,32
V266,0.004725651,23,0.0027724851885817746,0.0005223750597498554,54,31
V207,0.0011972561,137,0.0008144801890137554,0.00016938027083693237,106,31
C4,0.03808725,5,0.004662049165253634,0.000682175929523618,36,31
V274,0.0016027163,99,0.0006049569871585337,6.96211855563048e-05,129,30
V53,0.0021926127,65,0.004820919994141748,0.00040900896510808013,35,30
V242,0.0004908534,270,0.0,0.0,240,30
V58,0.0010554356,164,0.0004745490928917295,7.257004813008528e-05,136,28
V7,0.0010140948,173,0.0003988610181558383,0.00016619470072892122,146,27
V234,0.0006587345,243,2.7823788124325954e-05,2.150717667879601e-06,216,27
V210,0.0022973786,58,0.0012066402696081057,6.371258687266131e-05,85,27
V67,0.0016683813,92,0.0006918577173551266,0.00012986645174245797,118,26
C3,0.0011537692,149,0.0006613885031000688,0.00019131572468500494,123,26
V170,0.0012281329,130,0.0003034123144078471,1.996333677305547e-05,156,26
V25,0.0009252521,192,0.00020665103894813576,5.787722430782931e-05,167,25
V62,0.004286447,24,0.0033618188761548318,0.0006072482744718852,49,25
V23,0.00076527474,226,6.750034467247756e-05,3.783284227224978e-05,202,24
V51,0.000990772,181,5.8230839210204885e-05,9.168547841067418e-05,205,24
V136,0.0016670367,94,0.0017268132924982082,0.0002713762452811026,71,23
V133,0.0020289863,70,0.001017294984959749,0.0006385555051124181,93,23
C13,0.004025086,27,0.041319178814388215,0.0014312410010250993,4,23
V165,0.003606143,33,0.0025951978711804212,0.0002570713439250998,56,23
C10,0.0029995746,43,0.008803552193418607,0.0006203878314185032,21,22
V99,0.0023262952,57,0.0015049130915712583,0.0003821364978178602,78,21
V173,0.00089978345,198,2.349117245739052e-05,2.331954951482522e-05,218,20
V86,0.00095388433,184,6.0385401902651735e-05,0.00013430119375216319,204,20
V203,0.00078375445,220,6.750209698346277e-05,6.392722260796853e-05,201,19
D13,0.001987743,71,0.0031845754475091194,0.0004647979029458261,52,19
D2,0.0037886666,30,0.014295678531642698,0.0015421443671550933,12,18
V134,0.0006450782,248,6.000211016532475e-06,2.8208781623290022e-05,230,18
V44,0.0013680282,108,0.0006137492682577128,0.00012932161899009085,126,18
V194,0.0010882977,161,0.00041638668921176734,6.40331815586349e-05,144,17
V186,0.0008723024,206,2.0512510086767576e-05,3.1578372528813964e-05,223,17
V295,0.0008706147,207,1.700592259199496e-05,1.886138883244696e-05,224,17
M5,0.0027696409,47,0.005798820790180836,0.0007880612971516184,30,17
V255,0.0007528577,228,4.5743990667523884e-05,3.4992402340464025e-05,212,16
D12,0.0016095206,98,0.0012477726699463676,0.0002708983567155123,82,16
V85,0.001667337,93,0.0007477132799905695,8.791460772900815e-05,108,15
V76,0.0013127766,120,0.0008315420908914572,0.00012552919867376547,105,15
V258,0.1989342,1,0.0121915640637003,0.0009026688115964787,15,14
V265,0.0022276707,63,0.0015195852408438348,0.0003523923301008759,77,14
V49,0.0023741073,55,0.002027688522380844,0.0002149289220306922,68,13
V94,0.0010671493,163,0.00037098488944836694,8.567811991010611e-05,150,13
V205,0.005123468,20,0.027666452321550062,0.0008009820940997057,7,13
card1_te_fraud_rate,0.012097929,13,0.14843294981458016,0.0045359229652860945,1,12
V334,0.0009495484,185,0.00018671590607513,7.402018641917301e-05,174,11
V317,0.012623015,11,0.007840331431717095,0.0006213613981953701,22,11
V149,0.061366756,3,0.012568867277947714,0.0006050046639051158,14,11
V87,0.0019490836,72,0.0021885799925379533,0.00031128217017567576,62,10
V209,0.0013803355,107,0.0009065415054326121,0.000161445436923368,97,10
V82,0.001701034,90,0.0013782734633236537,0.00021400847882011115,80,10
V8,0.00088222156,203,9.68840665921511e-05,3.5563722376219157e-05,194,9
V46,0.0011779497,143,0.0004978738845898723,0.00014448898811901626,135,8
V78,0.0015606617,102,0.001017002290500013,0.00021277716439400076,94,8
C1,0.013514154,10,0.09045141699250862,0.004359301862526135,2,8
product_cd,0.0029471943,45,0.0031622611364926835,0.0005125537697139353,53,8
V33,0.0013305043,115,0.0007680790614338795,0.00013443975318755858,107,8
device_hist_fraud_rate,0.007064249,18,0.0159622602337254,0.000879002400095778,11,7
r_emaildomain_freq,0.0016988281,91,0.000904854770554453,0.00028267007710269045,98,7
V12,0.0013249377,117,0.0007402947801919857,0.0002492991336179011,111,6
